,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_log_cumsum,emissions_cumsum,emissions_log,duration_log_cumsum,duration_cumsum,duration_log,timestamp,project_name,duration,emissions,emissions_rate,energy_consumed,date
6,-1.5242269892509672,0.2177893453174168,-1.5242269892509672,1.9663314084378636,7.144418399637666,1.9663314084378636,-0.6724961120752758,0.5104328886204296,-0.6724961120752758,1.9663426654749516,7.1444988250732395,1.9663426654749516,1640995200.0,XGBoost model,7.1444988250732395,0.5104328886204296,7.144418399637666,0.2177893453174168,2022-01-01
9,-0.8291941062156319,0.4364008373684354,-1.520459133482361,2.659636896409987,14.29109900710947,1.9666479982049496,0.022536770960059987,1.0227926425404021,-0.6687282563066688,2.661216967939545,14.3136978149414,1.9697939314764725,1641081600.0,XGBoost model,7.16919898986816,0.5123597539199725,7.1466806074718034,0.2186114920510186,2022-01-02
12,-0.3489427886861673,0.705433487892151,-1.3129225293343578,3.0652798636337812,21.440461553092508,1.967023198323459,0.5027880884895245,1.6533244655728343,-0.4611916521586662,3.141264967850093,23.13311100006102,2.1769553355059656,1641168000.0,XGBoost model,8.81941318511962,0.6305318230324322,7.149362545983037,0.2690326505237156,2022-01-03
15,-0.12961180799436783,0.8784363667170207,-1.7544470440166275,3.35279827659794,28.582603873679904,1.9660127762472195,0.722119069181324,2.0587913126746815,-0.9027161668409358,3.3607300116280463,28.81021499633787,1.7364412428999356,1641254400.0,XGBoost model,5.67710399627685,0.4054668471018474,7.1421423205873955,0.1730028788248698,2022-01-04
18,0.09128698180924538,1.095583372645908,-1.5271807081281956,3.575926866549119,35.72772030270747,1.9664291064243722,0.9430178589849371,2.5677187504702146,-0.6754498309525039,3.5816545962368544,35.93294620513914,1.963291248611215,1641340800.0,XGBoost model,7.1227312088012695,0.5089274377955332,7.145116429027564,0.2171470059288873,2022-01-05
21,0.22982892856495524,1.2583847178353207,-1.815224562613605,3.7578899264919876,42.857897187685566,1.9643360426708052,1.0815598057406468,2.9492762631906406,-0.9634936854379135,3.7204811006835676,41.28425121307371,1.6773404578793727,1641427200.0,XGBoost model,5.35130500793457,0.381557512720426,7.130176884978097,0.1628013451894125,2022-01-06
24,0.4045771522645826,1.4986686574088206,-1.4259339733733907,3.9120606276585383,50.00188114690587,1.9662705982217765,1.2563080294402742,3.5124297323690525,-0.5742030961976988,3.895225844068616,49.1671562194824,2.0646964915686157,1641513600.0,XGBoost model,7.88290500640869,0.5631534691784117,7.143983959220311,0.2402839395734999,2022-01-07
27,0.509172334975205,1.6639134618971085,-1.80032724105753,4.04550179472326,57.13985131737845,1.9654284460836944,1.3609032121508968,3.8997139806482535,-0.9485963638818381,3.9999028819379654,54.59284782409665,1.6911453760225574,1641600000.0,XGBoost model,5.42569160461425,0.38728424827920077,7.137970170472579,0.16524480448828804,2022-01-08
30,0.6575222610964342,1.9300043582916262,-1.3239173128031105,4.163288059900918,64.28254033354708,1.9660893183594232,1.5092531382721261,4.523351214528085,-0.47218643562741835,4.148264003247756,63.32397460937497,2.1668944320012495,1641686400.0,XGBoost model,8.73112678527832,0.6236372338798314,7.142689016168624,0.2660908963945177,2022-01-09
33,0.7473963237539715,2.1114952034420438,-1.7065500664919702,4.268666141008279,71.42629943909154,1.9662391231770682,1.5991272009296633,4.948711308307119,-0.8548191893162785,4.238131206863389,69.2782640457153,1.7841118734947445,1641772800.0,XGBoost model,5.95428943634033,0.42536009377903405,7.143759105544456,0.18149084515041775,2022-01-10
36,0.8527413950881731,2.3460695478651257,-1.4499827075532643,4.364007793850048,78.57140222477075,1.9664271969577445,1.7044722722638652,5.498483199331496,-0.5982518303775722,4.343450183200637,76.97265148162839,2.040491158652774,1641859200.0,XGBoost model,7.694387435913081,0.5497718910243777,7.145102785679218,0.23457434442308212,2022-01-11
39,0.95186161293515,2.5905277331670122,-1.4087110059531909,4.451077414050803,85.71924939142833,1.9668112157951767,1.8035924901108422,6.071419848223528,-0.5569801287774991,4.442512010345826,84.98816490173337,2.0813788414154155,1641945600.0,XGBoost model,8.01551342010498,0.5729366488920318,7.147847166657578,0.24445818530188665,2022-01-12
42,1.0522703297882987,2.864146298832363,-1.296020238571919,4.531164754064326,92.8666649381144,1.9667508293608307,1.9040012069639909,6.712699680573412,-0.4442893613962271,4.542872956211148,93.96035671234128,2.1941299952310334,1642032000.0,XGBoost model,8.97219181060791,0.6412798323498833,7.14741554668606,0.27361856566535103,2022-01-13
