date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
2022-01-01,0.06668996810913069,4.735872939957513e-09,2.0707825807167562e-07,15.0,18.0,9.218984180026585e-08,1.0987838109334309e-07,2.0206822289360892e-07
2022-01-02,0.0865046977996825,6.155842593775855e-09,2.054030861341122e-07,15.0,18.0,1.1973844634162055e-07,1.4291644096374516e-07,2.6265488730536573e-07
2022-01-03,0.0689225196838377,4.894113687144386e-09,2.0763496664391283e-07,15.0,18.0,9.53462388780382e-08,1.1347373326619467e-07,2.0881997214423287e-07
2022-01-04,0.0700018405914305,4.973316325810221e-09,2.0816634711485844e-07,15.0,18.0,9.6879071659512e-08,1.1532028516133625e-07,2.1219935682084827e-07
2022-01-05,0.0795192718505858,5.648701705005434e-09,2.0535234301971612e-07,15.0,18.0,1.099513636695014e-07,1.3106505076090496e-07,2.410164144304064e-07
2022-01-06,0.0807809829711912,5.750413930084971e-09,2.075781556937554e-07,15.0,18.0,1.1185970571306017e-07,1.3349652290344238e-07,2.453562286165027e-07
2022-01-07,0.0600178241729735,4.261281080775791e-09,2.0733605789975825e-07,15.0,18.0,8.302066061231827e-08,9.879787762959799e-08,1.8181853824191625e-07
2022-01-08,0.0970382690429686,6.901094302005239e-09,2.066863147668612e-07,15.0,18.0,1.3426111804114448e-07,1.6019185384114584e-07,2.9445297188229035e-07
2022-01-09,0.06643080711364731,4.719005495773422e-09,2.077340729799543e-07,15.0,18.0,9.189413653479681e-08,1.0945439338684084e-07,2.0134852992163765e-07
2022-01-10,0.07892990112304671,5.616343592471547e-09,2.0784302788817054e-07,15.0,18.0,1.0929273234473336e-07,1.303430398305257e-07,2.3963577217525907e-07
2022-01-11,0.1120951175689695,7.989388257794912e-09,2.074766051504265e-07,15.0,18.0,1.5532109472486707e-07,1.8556674321492514e-07,3.4088783793979223e-07
2022-01-12,0.1025290489196776,7.303671627243361e-09,2.07156380108049e-07,15.0,18.0,1.4200309912363695e-07,1.6962687174479167e-07,3.1162997086842857e-07
2022-01-13,0.09113383293151829,6.48716129243374e-09,2.0759544575517297e-07,15.0,18.0,1.2613634268442793e-07,1.5065511067708335e-07,2.767914533615113e-07
2022-01-14,0.0649719238281248,4.615176109208001e-09,2.0751590698280242e-07,15.0,18.0,8.985135290357804e-08,1.0706702868143717e-07,1.9691838158501527e-07
2022-01-15,0.0719392299652098,5.108530613581341e-09,2.0566687898173746e-07,15.0,18.0,9.943048159281415e-08,1.1853814125061039e-07,2.1796862284342452e-07
2022-01-16,0.0695343017578123,4.935441796912087e-09,2.0603331341219508e-07,15.0,18.0,9.610984060499403e-08,1.1447350184122724e-07,2.1058334244622127e-07
2022-01-17,0.07533907890319799,5.356258685655065e-09,2.099543735350629e-07,15.0,18.0,1.0426210032569039e-07,1.2427647908528646e-07,2.2853857941097685e-07
2022-01-18,0.096616744995117,6.885968393882117e-09,2.0799054477336518e-07,15.0,18.0,1.3388593991597497e-07,1.5992164611816407e-07,2.93807586034139e-07
2022-01-19,0.0861825942993162,6.137860690686439e-09,2.078659635920873e-07,15.0,18.0,1.1937651369306777e-07,1.4251112937927246e-07,2.6188764307234026e-07
2022-01-20,0.0907490253448485,6.459247045980561e-09,2.0723402978075123e-07,15.0,18.0,1.2564427322811552e-07,1.4995614687601727e-07,2.7560042010413285e-07
2022-01-21,0.0786588191986083,5.597785833875339e-09,2.0733680849729828e-07,15.0,18.0,1.0890265305836997e-07,1.299413045247396e-07,2.3884395758310955e-07
2022-01-22,0.0895078182220458,6.367212608191703e-09,2.0609571325267876e-07,15.0,18.0,1.2388858530256484e-07,1.4778494834899903e-07,2.7167353365156384e-07
